cards,win_prob
7S10H,0.4938219939122195
7S10H,0.4936916022439604
7S10H,0.49383202034674745
7S10H,0.49375244947620395
7S10H,0.4940525858618652
7S10H,0.49388791751706457
7S10H,0.4937361699744749
7S10H,0.4938679492013534
7S10H,0.4938832756174771
7S10H,0.4936414457396596
7S10H,0.4935633046333969
7S10H,0.49382715590372406
7S10H,0.4939541447851162
7S10H,0.4938061631612776
7S10H,0.4939104653934058
7S10H,0.4938924776697316
7S10H,0.49379020963772546
7S10H,0.4938059227959732
7S10H,0.4939800263737135
7S10H,0.49373989431231763
7S10H,0.49370457108162025
7S10H,0.4937139557777003
7S10H,0.4937282740803652
7S10H,0.494005252861325
7S10H,0.4938691920765834
7S10H,0.4940812591498984
7S10H,0.49378681500759936
7S10H,0.4937303564487966
7S10H,0.49399587106552706
7S10H,0.49404957303277774
7S10H,0.4940549200757578
7S10H,0.4940018440615741
7S10H,0.49376952906747845
7S10H,0.49378449179247597
7S10H,0.4937443560801682
7S10H,0.4940304385303575
7S10H,0.49381099800088607
7S10H,0.4938423118777482
7S10H,0.49380950835535525
7S10H,0.4939756841482029
