AD,2D,AC,AH,AS,16
AD,2D,AC,AH,2S,72
AD,2D,AC,AH,3S,84
AD,2D,AC,AH,4S,84
AD,2D,AC,AH,5S,84
AD,2D,AC,AH,6S,84
AD,2D,AC,AH,7S,84
AD,2D,AC,AH,8S,84
AD,2D,AC,AH,9S,84
AD,2D,AC,AH,10S,84
AD,2D,AC,AH,JS,84
AD,2D,AC,AH,QS,84
AD,2D,AC,AH,KS,84
AD,2D,AC,2H,2S,72
AD,2D,AC,2H,3S,192
AD,2D,AC,2H,4S,192
AD,2D,AC,2H,5S,192
AD,2D,AC,2H,6S,192
AD,2D,AC,2H,7S,192
AD,2D,AC,2H,8S,192
AD,2D,AC,2H,9S,192
AD,2D,AC,2H,10S,192
AD,2D,AC,2H,JS,192
AD,2D,AC,2H,QS,192
AD,2D,AC,2H,KS,192
AD,2D,AC,3H,3S,120
AD,2D,AC,3H,4S,240
AD,2D,AC,3H,5S,240
AD,2D,AC,3H,6S,240
AD,2D,AC,3H,7S,240
AD,2D,AC,3H,8S,240
AD,2D,AC,3H,9S,240
AD,2D,AC,3H,10S,240
AD,2D,AC,3H,JS,240
AD,2D,AC,3H,QS,240
AD,2D,AC,3H,KS,240
AD,2D,AC,4H,4S,120
AD,2D,AC,4H,5S,240
AD,2D,AC,4H,6S,240
AD,2D,AC,4H,7S,240
AD,2D,AC,4H,8S,240
AD,2D,AC,4H,9S,240
AD,2D,AC,4H,10S,240
AD,2D,AC,4H,JS,240
AD,2D,AC,4H,QS,240
AD,2D,AC,4H,KS,240
AD,2D,AC,5H,5S,120
AD,2D,AC,5H,6S,240
AD,2D,AC,5H,7S,240
AD,2D,AC,5H,8S,240
AD,2D,AC,5H,9S,240
AD,2D,AC,5H,10S,240
AD,2D,AC,5H,JS,240
AD,2D,AC,5H,QS,240
AD,2D,AC,5H,KS,240
AD,2D,AC,6H,6S,120
AD,2D,AC,6H,7S,240
AD,2D,AC,6H,8S,240
AD,2D,AC,6H,9S,240
AD,2D,AC,6H,10S,240
AD,2D,AC,6H,JS,240
AD,2D,AC,6H,QS,240
AD,2D,AC,6H,KS,240
AD,2D,AC,7H,7S,120
AD,2D,AC,7H,8S,240
AD,2D,AC,7H,9S,240
AD,2D,AC,7H,10S,240
AD,2D,AC,7H,JS,240
AD,2D,AC,7H,QS,240
AD,2D,AC,7H,KS,240
AD,2D,AC,8H,8S,120
AD,2D,AC,8H,9S,240
AD,2D,AC,8H,10S,240
AD,2D,AC,8H,JS,240
AD,2D,AC,8H,QS,240
AD,2D,AC,8H,KS,240
AD,2D,AC,9H,9S,120
AD,2D,AC,9H,10S,240
AD,2D,AC,9H,JS,240
AD,2D,AC,9H,QS,240
AD,2D,AC,9H,KS,240
AD,2D,AC,10H,10S,120
AD,2D,AC,10H,JS,240
AD,2D,AC,10H,QS,240
AD,2D,AC,10H,KS,240
AD,2D,AC,JH,JS,120
AD,2D,AC,JH,QS,240
AD,2D,AC,JH,KS,240
AD,2D,AC,QH,QS,120
AD,2D,AC,QH,KS,240
AD,2D,AC,KH,KS,120
AD,2D,2C,2H,2S,16
AD,2D,2C,2H,3S,84
AD,2D,2C,2H,4S,84
AD,2D,2C,2H,5S,84
AD,2D,2C,2H,6S,84
AD,2D,2C,2H,7S,84
AD,2D,2C,2H,8S,84
AD,2D,2C,2H,9S,84
AD,2D,2C,2H,10S,84
AD,2D,2C,2H,JS,84
AD,2D,2C,2H,QS,84
AD,2D,2C,2H,KS,84
AD,2D,2C,3H,3S,120
AD,2D,2C,3H,4S,240
AD,2D,2C,3H,5S,240
AD,2D,2C,3H,6S,240
AD,2D,2C,3H,7S,240
AD,2D,2C,3H,8S,240
AD,2D,2C,3H,9S,240
AD,2D,2C,3H,10S,240
AD,2D,2C,3H,JS,240
AD,2D,2C,3H,QS,240
AD,2D,2C,3H,KS,240
AD,2D,2C,4H,4S,120
AD,2D,2C,4H,5S,240
AD,2D,2C,4H,6S,240
AD,2D,2C,4H,7S,240
AD,2D,2C,4H,8S,240
AD,2D,2C,4H,9S,240
AD,2D,2C,4H,10S,240
AD,2D,2C,4H,JS,240
AD,2D,2C,4H,QS,240
AD,2D,2C,4H,KS,240
AD,2D,2C,5H,5S,120
AD,2D,2C,5H,6S,240
AD,2D,2C,5H,7S,240
AD,2D,2C,5H,8S,240
AD,2D,2C,5H,9S,240
AD,2D,2C,5H,10S,240
AD,2D,2C,5H,JS,240
AD,2D,2C,5H,QS,240
AD,2D,2C,5H,KS,240
AD,2D,2C,6H,6S,120
AD,2D,2C,6H,7S,240
AD,2D,2C,6H,8S,240
AD,2D,2C,6H,9S,240
AD,2D,2C,6H,10S,240
AD,2D,2C,6H,JS,240
AD,2D,2C,6H,QS,240
AD,2D,2C,6H,KS,240
AD,2D,2C,7H,7S,120
AD,2D,2C,7H,8S,240
AD,2D,2C,7H,9S,240
AD,2D,2C,7H,10S,240
AD,2D,2C,7H,JS,240
AD,2D,2C,7H,QS,240
AD,2D,2C,7H,KS,240
AD,2D,2C,8H,8S,120
AD,2D,2C,8H,9S,240
AD,2D,2C,8H,10S,240
AD,2D,2C,8H,JS,240
AD,2D,2C,8H,QS,240
AD,2D,2C,8H,KS,240
AD,2D,2C,9H,9S,120
AD,2D,2C,9H,10S,240
AD,2D,2C,9H,JS,240
AD,2D,2C,9H,QS,240
AD,2D,2C,9H,KS,240
AD,2D,2C,10H,10S,120
AD,2D,2C,10H,JS,240
AD,2D,2C,10H,QS,240
AD,2D,2C,10H,KS,240
AD,2D,2C,JH,JS,120
AD,2D,2C,JH,QS,240
AD,2D,2C,JH,KS,240
AD,2D,2C,QH,QS,120
AD,2D,2C,QH,KS,240
AD,2D,2C,KH,KS,120
AD,2D,3C,3H,3S,52
AD,2D,3C,3H,4S,156
AD,2D,3C,3H,5S,156
AD,2D,3C,3H,6S,156
AD,2D,3C,3H,7S,156
AD,2D,3C,3H,8S,156
AD,2D,3C,3H,9S,156
AD,2D,3C,3H,10S,156
AD,2D,3C,3H,JS,156
AD,2D,3C,3H,QS,156
AD,2D,3C,3H,KS,156
AD,2D,3C,4H,4S,156
AD,2D,3C,4H,5S,312
AD,2D,3C,4H,6S,312
AD,2D,3C,4H,7S,312
AD,2D,3C,4H,8S,312
AD,2D,3C,4H,9S,312
AD,2D,3C,4H,10S,312
AD,2D,3C,4H,JS,312
AD,2D,3C,4H,QS,312
AD,2D,3C,4H,KS,312
AD,2D,3C,5H,5S,156
AD,2D,3C,5H,6S,312
AD,2D,3C,5H,7S,312
AD,2D,3C,5H,8S,312
AD,2D,3C,5H,9S,312
AD,2D,3C,5H,10S,312
AD,2D,3C,5H,JS,312
AD,2D,3C,5H,QS,312
AD,2D,3C,5H,KS,312
AD,2D,3C,6H,6S,156
AD,2D,3C,6H,7S,312
AD,2D,3C,6H,8S,312
AD,2D,3C,6H,9S,312
AD,2D,3C,6H,10S,312
AD,2D,3C,6H,JS,312
AD,2D,3C,6H,QS,312
AD,2D,3C,6H,KS,312
AD,2D,3C,7H,7S,156
AD,2D,3C,7H,8S,312
AD,2D,3C,7H,9S,312
AD,2D,3C,7H,10S,312
AD,2D,3C,7H,JS,312
AD,2D,3C,7H,QS,312
AD,2D,3C,7H,KS,312
AD,2D,3C,8H,8S,156
AD,2D,3C,8H,9S,312
AD,2D,3C,8H,10S,312
AD,2D,3C,8H,JS,312
AD,2D,3C,8H,QS,312
AD,2D,3C,8H,KS,312
AD,2D,3C,9H,9S,156
AD,2D,3C,9H,10S,312
AD,2D,3C,9H,JS,312
AD,2D,3C,9H,QS,312
AD,2D,3C,9H,KS,312
AD,2D,3C,10H,10S,156
AD,2D,3C,10H,JS,312
AD,2D,3C,10H,QS,312
AD,2D,3C,10H,KS,312
AD,2D,3C,JH,JS,156
AD,2D,3C,JH,QS,312
AD,2D,3C,JH,KS,312
AD,2D,3C,QH,QS,156
AD,2D,3C,QH,KS,312
AD,2D,3C,KH,KS,156
AD,2D,4C,4H,4S,52
AD,2D,4C,4H,5S,156
AD,2D,4C,4H,6S,156
AD,2D,4C,4H,7S,156
AD,2D,4C,4H,8S,156
AD,2D,4C,4H,9S,156
AD,2D,4C,4H,10S,156
AD,2D,4C,4H,JS,156
AD,2D,4C,4H,QS,156
AD,2D,4C,4H,KS,156
AD,2D,4C,5H,5S,156
AD,2D,4C,5H,6S,312
AD,2D,4C,5H,7S,312
AD,2D,4C,5H,8S,312
AD,2D,4C,5H,9S,312
AD,2D,4C,5H,10S,312
AD,2D,4C,5H,JS,312
AD,2D,4C,5H,QS,312
AD,2D,4C,5H,KS,312
AD,2D,4C,6H,6S,156
AD,2D,4C,6H,7S,312
AD,2D,4C,6H,8S,312
AD,2D,4C,6H,9S,312
AD,2D,4C,6H,10S,312
AD,2D,4C,6H,JS,312
AD,2D,4C,6H,QS,312
AD,2D,4C,6H,KS,312
AD,2D,4C,7H,7S,156
AD,2D,4C,7H,8S,312
AD,2D,4C,7H,9S,312
AD,2D,4C,7H,10S,312
AD,2D,4C,7H,JS,312
AD,2D,4C,7H,QS,312
AD,2D,4C,7H,KS,312
AD,2D,4C,8H,8S,156
AD,2D,4C,8H,9S,312
AD,2D,4C,8H,10S,312
AD,2D,4C,8H,JS,312
AD,2D,4C,8H,QS,312
AD,2D,4C,8H,KS,312
AD,2D,4C,9H,9S,156
AD,2D,4C,9H,10S,312
AD,2D,4C,9H,JS,312
AD,2D,4C,9H,QS,312
AD,2D,4C,9H,KS,312
AD,2D,4C,10H,10S,156
AD,2D,4C,10H,JS,312
AD,2D,4C,10H,QS,312
AD,2D,4C,10H,KS,312
AD,2D,4C,JH,JS,156
AD,2D,4C,JH,QS,312
AD,2D,4C,JH,KS,312
AD,2D,4C,QH,QS,156
AD,2D,4C,QH,KS,312
AD,2D,4C,KH,KS,156
AD,2D,5C,5H,5S,52
AD,2D,5C,5H,6S,156
AD,2D,5C,5H,7S,156
AD,2D,5C,5H,8S,156
AD,2D,5C,5H,9S,156
AD,2D,5C,5H,10S,156
AD,2D,5C,5H,JS,156
AD,2D,5C,5H,QS,156
AD,2D,5C,5H,KS,156
AD,2D,5C,6H,6S,156
AD,2D,5C,6H,7S,312
AD,2D,5C,6H,8S,312
AD,2D,5C,6H,9S,312
AD,2D,5C,6H,10S,312
AD,2D,5C,6H,JS,312
AD,2D,5C,6H,QS,312
AD,2D,5C,6H,KS,312
AD,2D,5C,7H,7S,156
AD,2D,5C,7H,8S,312
AD,2D,5C,7H,9S,312
AD,2D,5C,7H,10S,312
AD,2D,5C,7H,JS,312
AD,2D,5C,7H,QS,312
AD,2D,5C,7H,KS,312
AD,2D,5C,8H,8S,156
AD,2D,5C,8H,9S,312
AD,2D,5C,8H,10S,312
AD,2D,5C,8H,JS,312
AD,2D,5C,8H,QS,312
AD,2D,5C,8H,KS,312
AD,2D,5C,9H,9S,156
AD,2D,5C,9H,10S,312
AD,2D,5C,9H,JS,312
AD,2D,5C,9H,QS,312
AD,2D,5C,9H,KS,312
