AD,2D,AC,2C,3C,108
AD,2D,AC,2C,4C,108
AD,2D,AC,2C,5C,108
AD,2D,AC,2C,6C,108
AD,2D,AC,2C,7C,108
AD,2D,AC,2C,8C,108
AD,2D,AC,2C,9C,108
AD,2D,AC,2C,10C,108
AD,2D,AC,2C,JC,108
AD,2D,AC,2C,QC,108
AD,2D,AC,2C,KC,108
AD,2D,AC,3C,4C,180
AD,2D,AC,3C,5C,180
AD,2D,AC,3C,6C,180
AD,2D,AC,3C,7C,180
AD,2D,AC,3C,8C,180
AD,2D,AC,3C,9C,180
AD,2D,AC,3C,10C,180
AD,2D,AC,3C,JC,180
AD,2D,AC,3C,QC,180
AD,2D,AC,3C,KC,180
AD,2D,AC,4C,5C,180
AD,2D,AC,4C,6C,180
AD,2D,AC,4C,7C,180
AD,2D,AC,4C,8C,180
AD,2D,AC,4C,9C,180
AD,2D,AC,4C,10C,180
AD,2D,AC,4C,JC,180
AD,2D,AC,4C,QC,180
AD,2D,AC,4C,KC,180
AD,2D,AC,5C,6C,180
AD,2D,AC,5C,7C,180
AD,2D,AC,5C,8C,180
AD,2D,AC,5C,9C,180
AD,2D,AC,5C,10C,180
AD,2D,AC,5C,JC,180
AD,2D,AC,5C,QC,180
AD,2D,AC,5C,KC,180
AD,2D,AC,6C,7C,180
AD,2D,AC,6C,8C,180
AD,2D,AC,6C,9C,180
AD,2D,AC,6C,10C,180
AD,2D,AC,6C,JC,180
AD,2D,AC,6C,QC,180
AD,2D,AC,6C,KC,180
AD,2D,AC,7C,8C,180
AD,2D,AC,7C,9C,180
AD,2D,AC,7C,10C,180
AD,2D,AC,7C,JC,180
AD,2D,AC,7C,QC,180
AD,2D,AC,7C,KC,180
AD,2D,AC,8C,9C,180
AD,2D,AC,8C,10C,180
AD,2D,AC,8C,JC,180
AD,2D,AC,8C,QC,180
AD,2D,AC,8C,KC,180
AD,2D,AC,9C,10C,180
AD,2D,AC,9C,JC,180
AD,2D,AC,9C,QC,180
AD,2D,AC,9C,KC,180
AD,2D,AC,10C,JC,180
AD,2D,AC,10C,QC,180
AD,2D,AC,10C,KC,180
AD,2D,AC,JC,QC,180
AD,2D,AC,JC,KC,180
AD,2D,AC,QC,KC,180
AD,2D,2C,3C,4C,180
AD,2D,2C,3C,5C,180
AD,2D,2C,3C,6C,180
AD,2D,2C,3C,7C,180
AD,2D,2C,3C,8C,180
AD,2D,2C,3C,9C,180
AD,2D,2C,3C,10C,180
AD,2D,2C,3C,JC,180
