AD,2D,3D,4D,AC,3
AD,2D,3D,4D,2C,3
AD,2D,3D,4D,3C,3
AD,2D,3D,4D,4C,3
AD,2D,3D,4D,5C,9
AD,2D,3D,4D,6C,9
AD,2D,3D,4D,7C,9
AD,2D,3D,4D,8C,9
AD,2D,3D,4D,9C,9
AD,2D,3D,4D,10C,9
AD,2D,3D,4D,JC,9
AD,2D,3D,4D,QC,9
AD,2D,3D,4D,KC,9
AD,2D,3D,5D,AC,3
AD,2D,3D,5D,2C,3
AD,2D,3D,5D,3C,3
AD,2D,3D,5D,5C,3
AD,2D,3D,5D,6C,9
AD,2D,3D,5D,7C,9
AD,2D,3D,5D,8C,9
AD,2D,3D,5D,9C,9
AD,2D,3D,5D,10C,9
AD,2D,3D,5D,JC,9
AD,2D,3D,5D,QC,9
AD,2D,3D,5D,KC,9
AD,2D,3D,6D,AC,3
AD,2D,3D,6D,2C,3
AD,2D,3D,6D,3C,3
AD,2D,3D,6D,6C,3
AD,2D,3D,6D,7C,9
AD,2D,3D,6D,8C,9
AD,2D,3D,6D,9C,9
AD,2D,3D,6D,10C,9
AD,2D,3D,6D,JC,9
AD,2D,3D,6D,QC,9
AD,2D,3D,6D,KC,9
AD,2D,3D,7D,AC,3
AD,2D,3D,7D,2C,3
AD,2D,3D,7D,3C,3
AD,2D,3D,7D,7C,3
AD,2D,3D,7D,8C,9
AD,2D,3D,7D,9C,9
AD,2D,3D,7D,10C,9
AD,2D,3D,7D,JC,9
AD,2D,3D,7D,QC,9
AD,2D,3D,7D,KC,9
AD,2D,3D,8D,AC,3
AD,2D,3D,8D,2C,3
AD,2D,3D,8D,3C,3
AD,2D,3D,8D,8C,3
AD,2D,3D,8D,9C,9
AD,2D,3D,8D,10C,9
AD,2D,3D,8D,JC,9
AD,2D,3D,8D,QC,9
AD,2D,3D,8D,KC,9
AD,2D,3D,9D,AC,3
AD,2D,3D,9D,2C,3
AD,2D,3D,9D,3C,3
AD,2D,3D,9D,9C,3
AD,2D,3D,9D,10C,9
AD,2D,3D,9D,JC,9
AD,2D,3D,9D,QC,9
AD,2D,3D,9D,KC,9
AD,2D,3D,10D,AC,3
AD,2D,3D,10D,2C,3
AD,2D,3D,10D,3C,3
AD,2D,3D,10D,10C,3
AD,2D,3D,10D,JC,9
AD,2D,3D,10D,QC,9
AD,2D,3D,10D,KC,9
AD,2D,3D,JD,AC,3
AD,2D,3D,JD,2C,3
AD,2D,3D,JD,3C,3
AD,2D,3D,JD,JC,3
AD,2D,3D,JD,QC,9
AD,2D,3D,JD,KC,9
AD,2D,3D,QD,AC,3
AD,2D,3D,QD,2C,3
AD,2D,3D,QD,3C,3
AD,2D,3D,QD,QC,3
AD,2D,3D,QD,KC,9
AD,2D,3D,KD,AC,3
AD,2D,3D,KD,2C,3
AD,2D,3D,KD,3C,3
AD,2D,3D,KD,KC,3
AD,2D,4D,5D,AC,3
AD,2D,4D,5D,2C,3
AD,2D,4D,5D,4C,3
AD,2D,4D,5D,5C,3
AD,2D,4D,5D,6C,9
AD,2D,4D,5D,7C,9
AD,2D,4D,5D,8C,9
AD,2D,4D,5D,9C,9
AD,2D,4D,5D,10C,9
AD,2D,4D,5D,JC,9
AD,2D,4D,5D,QC,9
AD,2D,4D,5D,KC,9
AD,2D,4D,6D,AC,3
AD,2D,4D,6D,2C,3
AD,2D,4D,6D,4C,3
AD,2D,4D,6D,6C,3
AD,2D,4D,6D,7C,9
AD,2D,4D,6D,8C,9
AD,2D,4D,6D,9C,9
AD,2D,4D,6D,10C,9
AD,2D,4D,6D,JC,9
AD,2D,4D,6D,QC,9
AD,2D,4D,6D,KC,9
AD,2D,4D,7D,AC,3
AD,2D,4D,7D,2C,3
AD,2D,4D,7D,4C,3
AD,2D,4D,7D,7C,3
AD,2D,4D,7D,8C,9
AD,2D,4D,7D,9C,9
AD,2D,4D,7D,10C,9
AD,2D,4D,7D,JC,9
AD,2D,4D,7D,QC,9
AD,2D,4D,7D,KC,9
AD,2D,4D,8D,AC,3
AD,2D,4D,8D,2C,3
AD,2D,4D,8D,4C,3
AD,2D,4D,8D,8C,3
AD,2D,4D,8D,9C,9
AD,2D,4D,8D,10C,9
AD,2D,4D,8D,JC,9
AD,2D,4D,8D,QC,9
AD,2D,4D,8D,KC,9
AD,2D,4D,9D,AC,3
AD,2D,4D,9D,2C,3
AD,2D,4D,9D,4C,3
AD,2D,4D,9D,9C,3
AD,2D,4D,9D,10C,9
AD,2D,4D,9D,JC,9
AD,2D,4D,9D,QC,9
AD,2D,4D,9D,KC,9
AD,2D,4D,10D,AC,3
AD,2D,4D,10D,2C,3
AD,2D,4D,10D,4C,3
AD,2D,4D,10D,10C,3
AD,2D,4D,10D,JC,9
AD,2D,4D,10D,QC,9
AD,2D,4D,10D,KC,9
AD,2D,4D,JD,AC,3
AD,2D,4D,JD,2C,3
AD,2D,4D,JD,4C,3
AD,2D,4D,JD,JC,3
AD,2D,4D,JD,QC,9
AD,2D,4D,JD,KC,9
AD,2D,4D,QD,AC,3
AD,2D,4D,QD,2C,3
AD,2D,4D,QD,4C,3
AD,2D,4D,QD,QC,3
AD,2D,4D,QD,KC,9
AD,2D,4D,KD,AC,3
AD,2D,4D,KD,2C,3
AD,2D,4D,KD,4C,3
AD,2D,4D,KD,KC,3
AD,2D,5D,6D,AC,3
AD,2D,5D,6D,2C,3
AD,2D,5D,6D,5C,3
AD,2D,5D,6D,6C,3
AD,2D,5D,6D,7C,9
AD,2D,5D,6D,8C,9
AD,2D,5D,6D,9C,9
AD,2D,5D,6D,10C,9
AD,2D,5D,6D,JC,9
AD,2D,5D,6D,QC,9
AD,2D,5D,6D,KC,9
AD,2D,5D,7D,AC,3
AD,2D,5D,7D,2C,3
AD,2D,5D,7D,5C,3
AD,2D,5D,7D,7C,3
AD,2D,5D,7D,8C,9
AD,2D,5D,7D,9C,9
AD,2D,5D,7D,10C,9
AD,2D,5D,7D,JC,9
AD,2D,5D,7D,QC,9
AD,2D,5D,7D,KC,9
AD,2D,5D,8D,AC,3
AD,2D,5D,8D,2C,3
AD,2D,5D,8D,5C,3
AD,2D,5D,8D,8C,3
AD,2D,5D,8D,9C,9
AD,2D,5D,8D,10C,9
AD,2D,5D,8D,JC,9
AD,2D,5D,8D,QC,9
AD,2D,5D,8D,KC,9
AD,2D,5D,9D,AC,3
AD,2D,5D,9D,2C,3
AD,2D,5D,9D,5C,3
AD,2D,5D,9D,9C,3
AD,2D,5D,9D,10C,9
AD,2D,5D,9D,JC,9
AD,2D,5D,9D,QC,9
AD,2D,5D,9D,KC,9
AD,2D,5D,10D,AC,3
AD,2D,5D,10D,2C,3
AD,2D,5D,10D,5C,3
AD,2D,5D,10D,10C,3
AD,2D,5D,10D,JC,9
AD,2D,5D,10D,QC,9
AD,2D,5D,10D,KC,9
AD,2D,5D,JD,AC,3
AD,2D,5D,JD,2C,3
AD,2D,5D,JD,5C,3
AD,2D,5D,JD,JC,3
AD,2D,5D,JD,QC,9
AD,2D,5D,JD,KC,9
AD,2D,5D,QD,AC,3
AD,2D,5D,QD,2C,3
AD,2D,5D,QD,5C,3
AD,2D,5D,QD,QC,3
AD,2D,5D,QD,KC,9
AD,2D,5D,KD,AC,3
AD,2D,5D,KD,2C,3
AD,2D,5D,KD,5C,3
